survey,item,variable,values,question_text,response_categories
issp1988,tradroles5,v12,c(5:1),A husband's job is to earn money; a wife's job is to look after the home and family,1 Strongly agree / 2 Agree / 3 Neither agree nor disagree / 4 Disagree / 5 Strongly disagree
issp1991,tradroles5,v16,c(5:1),A husband's job is to earn money; a wife's job is to look after the home and family,1 Strongly agree / 2 Agree / 3 Neither agree nor disagree / 4 Disagree / 5 Strongly disagree
issp1994,tradroles5,v12,c(5:1),A husband's job is to earn money; a wife's job is to look after the home and family,1 Strongly agree / 2 Agree / 3 Neither agree nor disagree / 4 Disagree / 5 Strongly disagree
issp1998,tradroles5,v12,c(5:1),A husband's job is to earn money; a wife's job is to look after the home and family,1 Strongly agree / 2 Agree / 3 Neither agree nor disagree / 4 Disagree / 5 Strongly disagree
issp1998br,tradroles5,v12,c(5:1),A husband's job is to earn money; a wife's job is to look after the home and family,1 Strongly agree / 2 Agree / 3 Neither agree nor disagree / 4 Disagree / 5 Strongly disagree
issp2002,tradroles5,v11,c(5:1),A husband's job is to earn money; a wife's job is to look after the home and family,1 Strongly agree / 2 Agree / 3 Neither agree nor disagree / 4 Disagree / 5 Strongly disagree
issp2008,tradroles5,v12,c(5:1),A husband's job is to earn money; a wife's job is to look after the home and family,1 Strongly agree / 2 Agree / 3 Neither agree nor disagree / 4 Disagree / 5 Strongly disagree
issp2008a,tradroles5,v12,c(5:1),A husband's job is to earn money; a wife's job is to look after the home and family,1 Strongly agree / 2 Agree / 3 Neither agree nor disagree / 4 Disagree / 5 Strongly disagree
issp2008ca,tradroles5,v12,c(5:1),A husband's job is to earn money; a wife's job is to look after the home and family,1 Strongly agree / 2 Agree / 3 Neither agree nor disagree / 4 Disagree / 5 Strongly disagree
issp2012,tradroles5,v11,c(5:1),A husband's job is to earn money; a wife's job is to look after the home and family,1 Strongly agree / 2 Agree / 3 Neither agree nor disagree / 4 Disagree / 5 Strongly disagree
issp2018,tradroles5,v6,c(5:1),A husband's job is to earn money; a wife's job is to look after the home and family,1 Strongly agree / 2 Agree / 3 Neither agree nor disagree / 4 Disagree / 5 Strongly disagree
issp2018ext,tradroles5,v6,c(5:1),A husband's job is to earn money; a wife's job is to look after the home and family,1 Strongly agree / 2 Agree / 3 Neither agree nor disagree / 4 Disagree / 5 Strongly disagree
issp2018tn,tradroles5,v6,c(5:1),A husband's job is to earn money; a wife's job is to look after the home and family,1 Strongly agree / 2 Agree / 3 Neither agree nor disagree / 4 Disagree / 5 Strongly disagree
