survey,item,variable,values,question_text,response_categories,agreed,notes
abcwapo198105,legal2,q45,"c(2, 1)",Do you think homosexuals should or should not have equal rights to marry one another?,"1 Should have equal rights to marry
2 Should not have equal rights to marry 8 DK/No opinion 9 NA/Refused",1,
abcwapo199406,legal2,q051,"c(2, 1)","On another issue in the news, do you think homosexual relations between consenting adults should or should not be legal?","1 Should be legal
2 Should not be legal   8 DK/No opinion 9 NA/Refused",1,
abcwapo199406,marry2,q055,"c(2, 1)",Do you think homosexuals should or should not have equal rights to marry one another?,"1 Should have equal rights to marry
2 Should not have equal rights to marry 8 DK/No opinion 9 NA/Refused",1,
abcwapo199608,civil2,q30m,"c(2, 1)",".Allowing homosexual couples to have the same benefits as married heterosexual couples, such as health benefits inheritance rights and Social Security survivor benefits","1 Support 2 Oppose
8 DK/No opinion 9 NA/Refused",1,
abcwapo200401,marry2,q24,"c(2, 1)",Do you think it should be legal or illegal for homosexual couples to get married?,"1 Legal
2 Illegal
8 DK/No opinion",1,
abcwapo200403,marry4b,q36,c(4:1),Do you think it should be LEGAL or ILLEGAL for homosexual couples to get married?,"1 Legal, STRONGLY
2 Legal, SOMEWHAT
3 Illegal, SOMEWHAT
4 Illegal, STRONGLY
8 DK/No opinion
9 NA/Refused",1,
abcwapo200508,marry2,q45,"c(2, 1)","Do you think it should be LEGAL or ILLEGAL for gay and lesbian couples to
get married?","1 Legal
2 Illegal
8 DK/No opinion",1,
abcwapo200711,civil2,q31,"c(2, 1)","Do you think homosexual couples should or should not be allowed to form
legally recognized civil unions, giving them the legal rights of married
ouples in areas such as health insurance, inheritance and pension coverage?","1 Should
2 Should not
8 DK/No opinion",1,
abcwapo200905,marry4b,q38b,c(4:1),"On another subject, do you think it should be LEGAL or ILLEGAL for gay and lesbian couples to get married?","1 Legal, STRONGLY
2 Legal, SOMEWHAT
3 Illegal, SOMEWHAT
4 Illegal, STRONGLY
8 DK/No opinion
9 NA/Refused",1,
abcwapo201002,marry4b,q29,c(4:1),"Do you think it should be LEGAL or ILLEGAL for gay and lesbian couples to get
married?","1 Legal, STRONGLY
2 Legal, SOMEWHAT
3 Illegal, SOMEWHAT
4 Illegal, STRONGLY
8 DK/No opinion
9 NA/Refused",1,
abcwapo201103,marry4b,q29,c(4:1),"On another subject, do you think it should be LEGAL or ILLEGAL for gay and lesbian couples to get married?","1 Legal, STRONGLY
2 Legal, SOMEWHAT
3 Illegal, SOMEWHAT
4 Illegal, STRONGLY
8 DK/No opinion
9 NA/Refused",1,
abcwapo201107,marry4b,q33,c(4:1),"On another subject, do you think it should be LEGAL or ILLEGAL for gay and lesbian couples to get married?","1 Legal, STRONGLY
2 Legal, SOMEWHAT
3 Illegal, SOMEWHAT
4 Illegal, STRONGLY
8 DK/No opinion
9 NA/Refused",1,
abcwapo201203,marry4b,q40,c(4:1),Do you think it should be LEGAL or ILLEGAL for gay and lesbian couples to get married?,"1 Legal, STRONGLY
2 Legal, SOMEWHAT
3 Illegal, SOMEWHAT
4 Illegal, STRONGLY
8 DK/No opinion
9 NA/Refused",1,
