Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record,k,t,sample
J,"Loftus, J",,,,"Loftus, J",,,"America's liberalization in attitudes toward homosexuality, 1973 to 1998",AMERICAN SOCIOLOGICAL REVIEW,,,English,Article,,,,,,,UNITED-STATES; GAY MEN; HETEROSEXUALS ATTITUDES; SEX-DIFFERENCES; PUBLIC-OPINION; CIVIL-RIGHTS; TRENDS; LESBIANS; SUPPRESSION; COMMITMENT,"Using General Social Survey data from 1973 to 1998, changing American attitudes toward homosexuality are examined. Two hypotheses are tested: (1) Can changes in attitudes be accounted for by the changing demographics of the population? (2) Are changing attitudes toward homosexuality embedded within larger cultural ideological shifts? The data indicate that Americans distinguish between the morality of homosexuality and the civil liberties of homosexuals. Americans became increasingly negative regarding the morality of homosexuality through 1990, but since then their attitudes have become increasingly liberal. The same 25-year period witnessed a steady decline in Americans' willingness to restrict the civil libel-ties of homosexuals. Changes in American demographics-particularly increasing educational levels-and changing cultural ideological beliefs can account for only about one-half of the change over time in attitudes toward homosexuality. Several theories are put forth to explain these patterns of change and the distinction made between morality and civil liberties.","Indiana Univ, Dept Sociol, Bloomington, IN 47405 USA",Indiana University System; Indiana University Bloomington,"Loftus, J (corresponding author), Indiana Univ, Dept Sociol, Ballantine Hall 744, Bloomington, IN 47405 USA.",,,,,,,,51,490,490,0,102,AMER SOCIOLOGICAL ASSOC,WASHINGTON,"1307 NEW YORK AVE NW #700, WASHINGTON, DC 20005-4712 USA",0003-1224,,,AM SOCIOL REV,Am. Sociol. Rev.,OCT,2001,66,5,,,,,762,782,,10.2307/3088957,http://dx.doi.org/10.2307/3088957,,,21,Sociology,Social Science Citation Index (SSCI),Sociology,490QK,,,,,6/21/23,WOS:000172062400007,View Full Record in Web of Science,1,21,wos
J,"Herek, GM",,,,"Herek, GM",,,Gender gaps in public opinion about lesbians and gay men,PUBLIC OPINION QUARTERLY,,,English,Article,,,,,,,AIDS-RELATED STIGMA; HETEROSEXUALS ATTITUDES; SEXUAL PREJUDICE; HOMOSEXUALITY; MASCULINITY; PSYCHOLOGY; WOMEN,"Using data from a 1999 national RDD survey (N=1,335), this article examines gender gaps in heterosexuals' attitudes toward lesbians, gay men, and a variety of topics related to homosexuality. Attitudes toward lesbians differed from attitudes toward gay men in several areas, and significant differences were observed between male and female heterosexual respondents. Survey participants generally were more likely to regard gay men as mentally ill, supported adoption rights for lesbians more than for gay men, and had more negative personal reactions to gay men than to lesbians. Overall, heterosexual women were more supportive than men of employment protection and adoption rights for gay people, more willing to extend employee benefits to same-sex couples, and less likely to hold stereotypical beliefs about gay people. Heterosexual men's negative reactions to gay men were at the root of these gender differences. Of all respondent-by-target combinations, heterosexual men were the least supportive of recognition of same-sex relationships and adoption rights for gay men, most likely to believe that gay men are mentally ill and molest children, and most negative in their affective reactions to gay men. Heterosexual men's response patterns were affected by item order, suggesting possible gender differences in the cognitive organization of attitudes toward gay men and lesbians. The findings demonstrate the importance of differentiating lesbians from gay men as attitude targets in survey research.","Univ Calif Davis, Dept Psychol, Davis, CA 95616 USA",University of California System; University of California Davis,"Herek, GM (corresponding author), Univ Calif Davis, Dept Psychol, 1 Shields Ave, Davis, CA 95616 USA.",,"Herek, Gregory M/F-9856-2011",,,,,,49,451,457,1,95,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0033-362X,,,PUBLIC OPIN QUART,Public Opin. Q.,SPR,2002,66,1,,,,,40,66,,10.1086/338409,http://dx.doi.org/10.1086/338409,,,27,"Communication; Political Science; Social Sciences, Interdisciplinary",Social Science Citation Index (SSCI),Communication; Government & Law; Social Sciences - Other Topics,530XH,,,,,6/21/23,WOS:000174383900003,View Full Record in Web of Science,1,1,wos
J,"Lax, JR; Phillips, JH",,,,"Lax, Jeffrey R.; Phillips, Justin H.",,,Gay Rights in the States: Public Opinion and Policy Responsiveness,AMERICAN POLITICAL SCIENCE REVIEW,,,English,Article,,,,,,,SAME-SEX MARRIAGE; AMERICAN STATES; UNITED-STATES; POLITICS; IMPACT,"We study the effects of policy-specific public opinion on state adoption of policies affecting gays and lesbians, and the factors that condition this relationship. Using national surveys and advances in opinion estimation, we create new estimates of state-level support for eight policies, including civil unions and nondiscrimination laws. We differentiate between responsiveness to opinion and congruence with opinion majorities. We find a high degree of responsiveness, controlling for interest group pressure and the ideology of voters and elected officials. Policy salience strongly increases the influence of policy-specific opinion (directly and relative to general voter ideology). There is, however, a surprising amount of noncongruence-for some policies, even clear supermajority support seems insufficient for adoption. When noncongruent, policy tends to be more conservative than desired by voters; that is, there is little progay policy bias. We find little to no evidence that state political institutions affect policy responsiveness or congruence.","[Lax, Jeffrey R.; Phillips, Justin H.] Columbia Univ, Dept Polit Sci, New York, NY 10027 USA",Columbia University,"Lax, JR (corresponding author), Columbia Univ, Dept Polit Sci, 7th Floor,Int Affairs Bldg,420 W 118th St, New York, NY 10027 USA.",JRL2124@columbia.edu; JHP2121@columbia.edu,,,,,,,44,371,371,0,105,CAMBRIDGE UNIV PRESS,NEW YORK,"32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA",0003-0554,1537-5943,,AM POLIT SCI REV,Am. Polit. Sci. Rev.,AUG,2009,103,3,,,,,367,386,,10.1017/S0003055409990050,http://dx.doi.org/10.1017/S0003055409990050,,,20,Political Science,Social Science Citation Index (SSCI),Government & Law,495ZR,,Bronze,,,6/21/23,WOS:000269936800004,View Full Record in Web of Science,1,9,wos
J,"Norton, AT; Herek, GM",,,,"Norton, Aaron T.; Herek, Gregory M.",,,Heterosexuals' Attitudes Toward Transgender People: Findings from a National Probability Sample of US Adults,SEX ROLES,,,English,Article,,,,,,Transgender; Attitudes; Sexual prejudice; Public opinion,SOCIAL-PSYCHOLOGY VIEW; COLLEGE SOPHOMORES; PUBLIC-OPINION; UNITED-STATES; CIVIL-RIGHTS; GENDER; CONTACT; WOMEN; MEN; MASCULINITY,"Using data from a national probability sample of heterosexual U.S. adults (N=2,281), the present study describes the distribution and correlates of men's and women's attitudes toward transgender people. Feeling thermometer ratings of transgender people were strongly correlated with attitudes toward gay men, lesbians, and bisexuals, but were significantly less favorable. Attitudes toward transgender people were more negative among heterosexual men than women. Negative attitudes were associated with endorsement of a binary conception of gender; higher levels of psychological authoritarianism, political conservatism, and anti-egalitarianism, and (for women) religiosity; and lack of personal contact with sexual minorities. In regression analysis, sexual prejudice accounted for much of the variance in transgender attitudes, but respondent gender, educational level, authoritarianism, anti-egalitarianism, and (for women) religiosity remained significant predictors with sexual prejudice statistically controlled. Implications and directions for future research on attitudes toward transgender people are discussed.","[Norton, Aaron T.; Herek, Gregory M.] Univ Calif Davis, Dept Psychol, Davis, CA 95616 USA",University of California System; University of California Davis,"Norton, AT (corresponding author), Univ Calif Davis, Dept Psychol, 1 Shields Ave, Davis, CA 95616 USA.",atnorton@ucdavis.edu,"Herek, Gregory M/F-9856-2011",,,,,,76,327,330,5,95,SPRINGER/PLENUM PUBLISHERS,NEW YORK,"233 SPRING ST, NEW YORK, NY 10013 USA",0360-0025,1573-2762,,SEX ROLES,Sex Roles,JUN,2013,68,12-Nov,,,SI,,738,753,,10.1007/s11199-011-0110-6,http://dx.doi.org/10.1007/s11199-011-0110-6,,,16,"Psychology, Developmental; Psychology, Social; Women's Studies",Social Science Citation Index (SSCI),Psychology; Women's Studies,168LF,,,Y,N,6/21/23,WOS:000320706500009,View Full Record in Web of Science,1,1,wos
J,"Adamczyk, A; Pitt, C",,,,"Adamczyk, Amy; Pitt, Cassady",,,Shaping attitudes about homosexuality: The role of religion and cultural context,SOCIAL SCIENCE RESEARCH,,,English,Article,,,,,,Religion; Homosexuality; Gay; Lesbian; Culture; Attitudes; Economic development; Values; Affiliation; Muslim; Protestant; Catholic,CONSERVATIVE PROTESTANTISM; VALUES; ORIENTATIONS; TOLERANCE; EDUCATION; COHORTS; LIFE,"Across the globe, the debate over homosexuality continues, with great variation in public opinion about the acceptability of homosexuality, laws regulating same-sex unions and penalties for homosexual sex behaviors. Religion is often seen as an important predictor of attitudes about homosexuality. However, cross-national differences in cultural orientations suggest that the role religion has in explaining homosexual attitudes may depend on a nation's cultural context. In this study, we merge ideas from cultural sociology and religious contextual effects to explain cross-national variation in public opinion about homosexuality. Using data from the fourth wave of the World Values Survey and Hierarchical Modeling techniques, we find support for the micro and macro effects of religion and a survival vs. self-expressive cultural orientation. Moreover, we find that personal religious beliefs have a greater effect on attitudes about homosexuality in countries like the United States, which have a strong self-expressive cultural orientation. Published by Elsevier Inc.","[Adamczyk, Amy] CUNY John Jay Coll Criminal Justice, Dept Sociol, New York, NY 10019 USA; [Pitt, Cassady] Wayne State Univ, Dept Sociol, Detroit, MI 48201 USA",City University of New York (CUNY) System; John Jay College of Criminal Justice (CUNY); Wayne State University,"Adamczyk, A (corresponding author), CUNY John Jay Coll Criminal Justice, Dept Sociol, 899 10th Ave, New York, NY 10019 USA.",aadamczyk@jjay.cuny.edu,,,,,,,56,312,318,5,195,ACADEMIC PRESS INC ELSEVIER SCIENCE,SAN DIEGO,"525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA",0049-089X,1096-0317,,SOC SCI RES,Soc. Sci. Res.,JUN,2009,38,2,,,,,338,351,,10.1016/j.ssresearch.2009.01.002,http://dx.doi.org/10.1016/j.ssresearch.2009.01.002,,,14,Sociology,Social Science Citation Index (SSCI); Arts &amp; Humanities Citation Index (A&amp;HCI),Sociology,436OJ,19827178,,,,6/21/23,WOS:000265423400007,View Full Record in Web of Science,40,1,wos
J,"Olson, LR; Cadge, W; Harrison, JT",,,,"Olson, LR; Cadge, W; Harrison, JT",,,Religion and public opinion about same-sex marriage,SOCIAL SCIENCE QUARTERLY,,,English,Article; Proceedings Paper,75th Annual Meeting of the Eastern-Sociological-Society,"MAR 17-20, 2005","Washington, DC",Eastern Sociol Soc,,,GAY MEN; HETEROSEXUALS ATTITUDES; NATIONAL SURVEY; UNITED-STATES; LESBIANS; HOMOSEXUALITY; RIGHTS; GENDER; INTOLERANCE; ORIENTATION,"Objective. The goal of this article is to analyze the relationship between religion, measured in terms of religious affiliation and religiosity, and public opinion about same-sex marriage, civil unions, and a federal constitutional amendment that would prohibit gay marriage. Methods. We use logistic regression with calculated standardized coefficients to analyze data from a nationally representative survey of 1,610 respondents conducted in March-April 2004. Results. Religious variables perform better than demographic measures in models of attitudes about same-sex unions. Non-Protestants are much more likely to support same-sex unions than are Protestants, and individuals with conservative attitudes toward morality and secularism and (to a lesser extent) those who participate actively in religious life are more likely to oppose such unions. On the whole, religious variables play a weaker role in predicting support for a constitutional amendment to prevent gay marriage than they do in predicting attitudes toward same-sex unions. Conclusion. Religious variables play powerful roles in structuring attitudes about same-sex unions. Moreover, homosexuality appears to be a major component of the moral values discourse that is currently so popular in American politics.","Clemson Univ, Dept Polit Sci, Clemson, SC 29634 USA; Bowdoin Coll, Brunswick, ME 04011 USA; Harvard Univ, Cambridge, MA 02138 USA",Clemson University; Bowdoin College; Harvard University,"Olson, LR (corresponding author), Clemson Univ, Dept Polit Sci, Clemson, SC 29634 USA.",laurao@clemson.edu,,,,,,,56,311,312,0,140,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0038-4941,1540-6237,,SOC SCI QUART,Soc. Sci. Q.,JUN,2006,87,2,,,,,340,360,,10.1111/j.1540-6237.2006.00384.x,http://dx.doi.org/10.1111/j.1540-6237.2006.00384.x,,,21,Political Science; Sociology,Social Science Citation Index (SSCI); Arts &amp; Humanities Citation Index (A&amp;HCI); Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH),Government & Law; Sociology,040RA,,,,,6/21/23,WOS:000237396900008,View Full Record in Web of Science,1,1,wos
J,"Lax, JR; Phillips, JH",,,,"Lax, Jeffrey R.; Phillips, Justin H.",,,The Democratic Deficit in the States,AMERICAN JOURNAL OF POLITICAL SCIENCE,,,English,Article,,,,,,,PUBLIC-OPINION; AMERICAN STATES; POLICY; GOVERNMENT; CITIZEN; RIGHTS; GAY,"We study how well states translate public opinion into policy. Using national surveys and advances in subnational opinion estimation, we estimate state-level support for 39 policies across eight issue areas, including abortion, law enforcement, health care, and education. We show that policy is highly responsive to policy-specific opinion, even controlling for other influences. But we also uncover a striking democratic deficit: policy is congruent with majority will only half the time. The analysis considers the influence of institutions, salience, partisan control of government, and interest groups on the magnitude and ideological direction of this democratic deficit. We find the largest influences to be legislative professionalization, term limits, and issue salience. Partisanship and interest groups affect the ideological balance of incongruence more than the aggregate degree thereof. Finally, policy is overresponsive to ideology and party-leading policy to be polarized relative to state electorates.","[Lax, Jeffrey R.; Phillips, Justin H.] Columbia Univ, Dept Polit Sci, New York, NY 10027 USA",Columbia University,"Lax, JR (corresponding author), Columbia Univ, Dept Polit Sci, 420 W 118th,MC3320, New York, NY 10027 USA.",JRL2124@columbia.edu; JHP2121@columbia.edu,,,"Divn Of Social and Economic Sciences; Direct For Social, Behav & Economic Scie [1023189] Funding Source: National Science Foundation","Divn Of Social and Economic Sciences; Direct For Social, Behav & Economic Scie(National Science Foundation (NSF)NSF - Directorate for Social, Behavioral & Economic Sciences (SBE))",,,40,274,276,5,76,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0092-5853,1540-5907,,AM J POLIT SCI,Am. J. Polit. Sci.,JAN,2012,56,1,,,,,148,166,,10.1111/j.1540-5907.2011.00537.x,http://dx.doi.org/10.1111/j.1540-5907.2011.00537.x,,,19,Political Science,Social Science Citation Index (SSCI),Government & Law,932AK,,Green Submitted,,,6/21/23,WOS:000303261100010,View Full Record in Web of Science,1,12,wos
J,"Lewis, GB",,,,"Lewis, GB",,,Black-white differences in attitudes toward homosexuality and gay rights,PUBLIC OPINION QUARTERLY,,,English,Article; Proceedings Paper,Annual Meeting of the Western-Political-Science-Association,"MAR 24-26, 2000","SAN JOSE, CALIFORNIA",Western Polit Sci Assoc,,,AFRICAN-AMERICAN COMMUNITY; HETEROSEXUALS ATTITUDES; NATIONAL SURVEY; SEX-DIFFERENCES; RELIGIOUS PARTICIPATION; AFFIRMATIVE-ACTION; PUBLIC-OPINION; UNITED-STATES; CONDOM USE; MEN,"Black homophobia has been cited as a contributing factor in slowing mobilization against AIDS in the African-American community, as an obstacle to black lesbians and gay men in coming to terms with their sexuality, and as a challenge to the legitimacy of the gay rights movement. Yet evidence that blacks are more homophobic than whites is quite limited. This article uses responses from almost seven thousand blacks and forty-three thousand whites in 31 surveys conducted since 1973 to give more definitive answers on black-white attitudinal differences and their demographic roots. Despite their greater disapproval of homosexuality, blacks' opinions on sodomy laws, gay civil liberties, and employment discrimination are quite similar to whites' opinions, and African Americans are more likely to support laws prohibiting antigay discrimination. Once religious and educational differences are controlled, blacks remain more disapproving of homosexuality but are moderately more supportive of gay civil liberties and markedly more opposed to antigay employment discrimination than are whites. Yet religion, education, gender, and age all have weaker impacts on black than on white attitudes, suggesting that black and white attitudes have different roots.","Georgia State Univ, Andrew Young Sch Policy Studies, Dept Publ Adm & Urban Studies, Atlanta, GA 30303 USA",University System of Georgia; Georgia State University,"Lewis, GB (corresponding author), Georgia State Univ, Andrew Young Sch Policy Studies, Dept Publ Adm & Urban Studies, Atlanta, GA 30303 USA.",,,,,,,,69,273,274,2,66,UNIV CHICAGO PRESS,CHICAGO,"1427 E 60TH ST, CHICAGO, IL 60637-2954 USA",0033-362X,,,PUBLIC OPIN QUART,Public Opin. Q.,SPR,2003,67,1,,,,,59,78,,10.1086/346009,http://dx.doi.org/10.1086/346009,,,20,"Communication; Political Science; Social Sciences, Interdisciplinary",Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH); Social Science Citation Index (SSCI),Communication; Government & Law; Social Sciences - Other Topics,668BK,,,,,6/21/23,WOS:000182270300007,View Full Record in Web of Science,1,31,wos
J,"Lax, JR; Phillips, JH",,,,"Lax, Jeffrey R.; Phillips, Justin H.",,,How Should We Estimate Public Opinion in The States ?,AMERICAN JOURNAL OF POLITICAL SCIENCE,,,English,Article,,,,,,,POLITICS; GAY,"We compare two approaches for estimating state-level public opinion: disaggregation by state of national surveys and a simulation approach using multilevel modeling of individual opinion and poststratification by population share. We present the first systematic assessment of the predictive accuracy of each and give practical advice about when and how each method should be used. To do so, we use an original data set of over 100 surveys on gay rights issues as well as 1988 presidential election data. Under optimal conditions, both methods work well, but multilevel modeling performs better generally. Compared to baseline opinion measures, it yields smaller errors, higher correlations, and more reliable estimates. Multilevel modeling is clearly superior when samples are smaller-indeed, one can accurately estimate state opinion using only a single large national survey. This greatly expands the scope of issues for which researchers can study subnational opinion directly or as an influence on policymaking.","[Lax, Jeffrey R.; Phillips, Justin H.] Columbia Univ, Dept Polit Sci, New York, NY 10027 USA",Columbia University,"Lax, JR (corresponding author), Columbia Univ, Dept Polit Sci, New York, NY 10027 USA.",JRL2124@columbia.edu; jhp2121@columbia.edu,,,,,,,25,256,256,0,39,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0092-5853,1540-5907,,AM J POLIT SCI,Am. J. Polit. Sci.,JAN,2009,53,1,,,,,107,121,,10.1111/j.1540-5907.2008.00360.x,http://dx.doi.org/10.1111/j.1540-5907.2008.00360.x,,,15,Political Science,Social Science Citation Index (SSCI),Government & Law,387TK,,Green Submitted,,,6/21/23,WOS:000261974300007,View Full Record in Web of Science,1,12,wos
J,"Andersen, R; Fetner, T",,,,"Andersen, Robert; Fetner, Tina",,,"Cohort differences in tolerance of homosexuality - Attitudinal change in Canada and the United States, 1981-2000",PUBLIC OPINION QUARTERLY,,,English,Article; Proceedings Paper,100th Annual Meeting of the American-Sociological-Association,"AUG 13-16, 2005","Philadelphia, PA",Amer Sociol Assoc,,,GAY MEN; HETEROSEXUALS ATTITUDES; FAMILY-STRUCTURE; SEX-DIFFERENCES; CIVIL-SOCIETY; TRENDS; MOVEMENT; IMPACT; RELIGIOSITY; ORIENTATION,"Using data from the World Values Surveys, we explore trends in tolerance of homosexuality in Canada and the United States from 1981 to 2000. Particular attention is given to the effects of birth cohort. Consistent with previous research, we find that younger cohorts are typically the most tolerant of homosexuality. We also find that Canadians are more liberal than Americans. Most interesting, however, is the remarkable degree of change over time within cohorts, especially in Canada. These findings suggest that attitudes toward homosexuality during this period were an exception to the age-stability hypothesis, which claims that opinions on controversial social issues are formed by early adulthood, and change little with age. We speculate that differing political climate across country and time is responsible for the significant differences in public opinion.","[Andersen, Robert] Univ Toronto, Dept Sociol, Toronto, ON M5S 2J4, Canada; [Fetner, Tina] McMaster Univ, Dept Sociol, Hamilton, ON L8S 4M4, Canada",University of Toronto; McMaster University,"Andersen, R (corresponding author), Univ Toronto, Dept Sociol, Room 372,725 Spadina Ave, Toronto, ON M5S 2J4, Canada.",bob.andersen@utoronto.ca,"Fetner, Tina/AAW-9246-2020","Fetner, Tina/0000-0003-4073-073X",,,,,84,239,241,1,76,OXFORD UNIV PRESS,OXFORD,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",0033-362X,1537-5331,,PUBLIC OPIN QUART,Public Opin. Q.,SUM,2008,72,2,,,,,311,330,,10.1093/poq/nfn017,http://dx.doi.org/10.1093/poq/nfn017,,,20,"Communication; Political Science; Social Sciences, Interdisciplinary",Social Science Citation Index (SSCI); Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH),Communication; Government & Law; Social Sciences - Other Topics,310JE,,,,,6/21/23,WOS:000256523900007,View Full Record in Web of Science,2,3,wos
