country,year,variable,cutpoint,y_r,n,survey,cc_rank,firstyr,lastyr,variable_cp,ccode,tcode,qcode,rcode,ktcode,tq,year_obs
United States,1969,l_defect2,1,972,1376,gallup_us196909,383,1969,2016,l_defect2_gt1,1,5,1,1,5,270,40
United States,1969,l_nomore2,1,228,1449,gallup_us196909,383,1969,2016,l_nomore2_gt1,1,5,2,2,5,270,40
United States,1969,l_health2,1,1229,1466,gallup_us196909,383,1969,2016,l_health2_gt1,1,5,3,3,5,270,40
United States,1969,l_poor2,1,364,1414,gallup_us196909,383,1969,2016,l_poor2_gt1,1,5,4,4,5,270,40
United States,1972,l_defect2,1,1199,1526,usgss,383,1969,2016,l_defect2_gt1,1,8,1,1,8,270,40
United States,1972,l_nomore2,1,607,1528,usgss,383,1969,2016,l_nomore2_gt1,1,8,2,2,8,270,40
United States,1972,l_health2,1,1338,1539,usgss,383,1969,2016,l_health2_gt1,1,8,3,3,8,270,40
United States,1972,l_poor2,1,735,1507,usgss,383,1969,2016,l_poor2_gt1,1,8,4,4,8,270,40
United States,1972,l_rape2,1,1196,1512,usgss,383,1969,2016,l_rape2_gt1,1,8,5,5,8,270,40
United States,1972,l_single2,1,654,1502,usgss,383,1969,2016,l_single2_gt1,1,8,6,6,8,270,40
United States,1972,l_ncca4,1,2325,2619,anes_combo,383,1969,2016,l_ncca4_gt1,1,8,7,7,8,270,40
United States,1972,l_ncca4,2,1096,2619,anes_combo,383,1969,2016,l_ncca4_gt2,1,8,7,8,8,270,40
United States,1972,l_ncca4,3,642,2619,anes_combo,383,1969,2016,l_ncca4_gt3,1,8,7,9,8,270,40
United States,1973,l_defect2,1,1237,1464,usgss,383,1969,2016,l_defect2_gt1,1,9,1,1,9,270,40
United States,1973,l_nomore2,1,693,1453,usgss,383,1969,2016,l_nomore2_gt1,1,9,2,2,9,270,40
United States,1973,l_health2,1,1362,1476,usgss,383,1969,2016,l_health2_gt1,1,9,3,3,9,270,40
United States,1973,l_poor2,1,778,1456,usgss,383,1969,2016,l_poor2_gt1,1,9,4,4,9,270,40
United States,1973,l_rape2,1,1212,1451,usgss,383,1969,2016,l_rape2_gt1,1,9,5,5,9,270,40
United States,1973,l_single2,1,712,1450,usgss,383,1969,2016,l_single2_gt1,1,9,6,6,9,270,40
United States,1974,l_defect2,1,1226,1440,usgss,383,1969,2016,l_defect2_gt1,1,10,1,1,10,270,40
United States,1974,l_nomore2,1,662,1411,usgss,383,1969,2016,l_nomore2_gt1,1,10,2,2,10,270,40
United States,1974,l_health2,1,1342,1452,usgss,383,1969,2016,l_health2_gt1,1,10,3,3,10,270,40
United States,1974,l_poor2,1,776,1417,usgss,383,1969,2016,l_poor2_gt1,1,10,4,4,10,270,40
United States,1974,l_rape2,1,1228,1420,usgss,383,1969,2016,l_rape2_gt1,1,10,5,5,10,270,40
United States,1974,l_single2,1,711,1420,usgss,383,1969,2016,l_single2_gt1,1,10,6,6,10,270,40
