country,year,item,r,n,survey,cc_rank
United States,1973,approve4,1,1052.98884869962,usgss,536
United States,1973,approve4,2,94.99899394725917,usgss,536
United States,1973,approve4,3,109.9988350968264,usgss,536
United States,1973,approve4,4,158.9983161854127,usgss,536
United States,1974,approve4,1,994.9894629212934,usgss,536
United States,1974,approve4,2,70.99924810795159,usgss,536
United States,1974,approve4,3,111.9988139167687,usgss,536
United States,1974,approve4,4,182.99806202472027,usgss,536
United States,1976,approve4,1,998.9894205611779,usgss,536
United States,1976,approve4,2,87.99906807746112,usgss,536
United States,1976,approve4,3,111.9988139167687,usgss,536
United States,1976,approve4,4,226.99759606345083,usgss,536
United States,1977,adopt2,1,1167.0754716981132,gallup_us197706,536
United States,1977,adopt2,2,211.0251572327044,gallup_us197706,536
United States,1977,approve4,1,1043.9889440098796,usgss,536
United States,1977,approve4,2,83.99911043757652,usgss,536
United States,1977,approve4,3,108.99884568685525,usgss,536
United States,1977,approve4,4,215.9977125537682,usgss,536
United States,1977,legal2,1,656.0251572327044,gallup_us197706,536
United States,1977,legal2,2,653.2264150943397,gallup_us197706,536
United States,1980,approve4,1,1023.9891558104566,usgss,536
United States,1980,approve4,2,83.99911043757652,usgss,536
United States,1980,approve4,3,84.99909984754767,usgss,536
United States,1980,approve4,4,203.9978396341144,usgss,536
United States,1981,just10,1,1451.1446096130962,wvs_combo,536
United States,1981,just10,2,115.93550174746458,wvs_combo,536
United States,1981,just10,3,104.64851179368499,wvs_combo,536
United States,1981,just10,4,68.97604971754203,wvs_combo,536
United States,1981,just10,5,278.13372774992706,wvs_combo,536
United States,1981,just10,6,48.074216469802025,wvs_combo,536
United States,1981,just10,7,37.48395429094709,wvs_combo,536
United States,1981,just10,8,53.369347559229496,wvs_combo,536
United States,1981,just10,9,23.41005323746881,wvs_combo,536
United States,1981,just10,10,55.59887643898843,wvs_combo,536
United States,1981,legal2,1,909.0855642617942,abcwapo198105,536
United States,1981,legal2,2,458.36319537015964,abcwapo198105,536
United States,1982,accept2a,1,785.8483713964808,gallup_us198206,536
United States,1982,accept2a,2,515.3010108573569,gallup_us198206,536
United States,1982,approve4,1,1323.9859788018014,usgss,536
United States,1982,approve4,2,92.99901512731687,usgss,536
United States,1982,approve4,3,115.9987715566533,usgss,536
United States,1982,approve4,4,237.99747957313346,usgss,536
United States,1982,just10,1,1479.1151560354783,evs_combo,536
United States,1982,just10,2,109.8201089468522,evs_combo,536
United States,1982,just10,3,92.62461846478588,evs_combo,536
United States,1982,just10,4,68.67327580987997,evs_combo,536
United States,1982,just10,5,265.4153483905431,evs_combo,536
United States,1982,just10,6,50.86317975571181,evs_combo,536
United States,1982,just10,7,38.37389438208909,evs_combo,536
United States,1982,just10,8,45.589498453934986,evs_combo,536
United States,1982,just10,9,23.790718037470874,evs_combo,536
United States,1982,just10,10,54.960550236392024,evs_combo,536
United States,1982,legal2,1,598.9872706851368,gallup_us198206,536
United States,1982,legal2,2,688.4054661175591,gallup_us198206,536
United States,1984,approve4,1,1034.9890393201392,usgss,536
United States,1984,approve4,2,69.99925869798044,usgss,536
United States,1984,approve4,3,104.99888804697065,usgss,536
United States,1984,approve4,4,201.9978608141721,usgss,536
United States,1985,accept2a,1,620.3834170188036,usnwr198509,536
United States,1985,accept2a,2,311.29103204769723,usnwr198509,536
United States,1985,approve4,1,1117.9881603477447,usgss,536
United States,1985,approve4,2,58.99937518829779,usgss,536
United States,1985,approve4,3,103.9988986369995,usgss,536
United States,1985,approve4,4,202.99785022414326,usgss,536
United States,1986,legal2,1,875.0135138143687,gallup_us198606,536
United States,1986,legal2,2,494.39508426653606,gallup_us198606,536
United States,1987,approve4,1,1367.9855128405318,usgss,536
United States,1987,approve4,2,71.99923751792274,usgss,536
United States,1987,approve4,3,101.9989198170572,usgss,536
United States,1987,approve4,4,207.997797273999,usgss,536
United States,1987,legal2,1,560.9961632070465,gallup_us198703,536
United States,1987,legal2,2,337.96598124912316,gallup_us198703,536
United States,1988,approve4,1,719.9923751792273,usgss,536
United States,1988,approve4,2,43.99953403873056,usgss,536
United States,1988,approve4,3,52.9994387284709,usgss,536
United States,1988,approve4,4,119.99872919653788,usgss,536
United States,1988,legal2,1,559.0031792124565,gallup_us198807,536
United States,1988,legal2,2,349.9386687360753,gallup_us198807,536
United States,1988,marry5,1,1226.2696988591413,"issp1988, usgss",536
United States,1988,marry5,2,672.1478284121883,"issp1988, usgss",536
United States,1988,marry5,3,392.0862332404432,"issp1988, usgss",536
United States,1988,marry5,4,236.0519159304709,"issp1988, usgss",536
United States,1988,marry5,5,88.01935848254848,"issp1988, usgss",536
United States,1989,accept2a,1,322.6204029621583,gallup_us198909,536
United States,1989,accept2a,2,209.93513750639747,gallup_us198909,536
United States,1989,approve4,1,726.9923010490254,usgss,536
United States,1989,approve4,2,39.99957639884596,usgss,536
United States,1989,approve4,3,58.99937518829779,usgss,536
United States,1989,approve4,4,153.99836913555694,usgss,536
United States,1989,legal2,1,440.67810576560737,gallup_us198910,536
United States,1989,legal2,2,578.43625172717,gallup_us198910,536
United States,1990,approve4,1,664.9929576308141,usgss,536
United States,1990,approve4,2,41.99955521878826,usgss,536
United States,1990,approve4,3,52.9994387284709,usgss,536
United States,1990,approve4,4,111.9988139167687,usgss,536
United States,1990,just10,1,969.4027770468465,evs_combo,536
United States,1990,just10,2,75.8804548973631,evs_combo,536
United States,1990,just10,3,95.84273057010282,evs_combo,536
